model,ticker,x,y,r
v02a,FDX,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag7,0.7824209391908654
v02a,AAPL,roll_sd_ret1d_147d,roll_sd_intraday_251d,0.7796498494495083
v02a,AXP,atr11_open,roll_sd_ret1d_147d,0.7792061967675278
v02a,AAPL,roll_sd_ret5d_147d_lag11,roll_sd_intraday_251d,0.7756548066040928
v02a,AMD,atr17_open,roll_sd_intraday_61d,0.775201119483179
v02a,AAPL,roll_sd_ret5d_147d_lag5,roll_sd_intraday_251d,0.7751738432556305
v02a,CVX,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag19,0.7732388541225319
v02a,HAL,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag11,0.7730075562255159
v02a,AXP,roll_mean_ret1d_61d,ma_cross_l,0.7724737982291057
v02a,AAPL,roll_sd_ret5d_147d,roll_sd_intraday_251d,0.772336240414775
v02a,AXP,roll_sd_ret5d_147d,roll_sd_intraday_61d,0.7711357342630437
v02a,HAL,roll_mean_ret5d_61d,ma_cross_l,0.7711003593973429
v02a,AAPL,roll_sd_ret1d_61d,roll_sd_ret5d_147d,0.7705336702114711
v02a,AAPL,corr_ema20_sma50_199d,corr_ema20_sma50_251d,0.7695526702766123
v02a,FDX,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag19,0.7685293367873082
v02a,AMD,atr17_open,roll_sd_ret1d_61d,0.7681985647794674
v02a,CVX,roll_mean_ret5d_61d,ma_cross_l,0.7670937666891338
v02a,AMD,roll_sd_ret5d_147d_lag5,roll_sd_intraday_251d,0.7667642600657579
v02a,AMD,roll_sd_ret5d_147d_lag11,roll_sd_intraday_251d,0.7662595011523473
v02a,AMD,roll_sd_ret5d_147d,roll_sd_intraday_251d,0.7660464704266443
v02a,FDX,roll_mean_ret1d_61d,ma_cross_l,0.7633906893954312
v02a,AMD,atr11_open,roll_sd_intraday_61d,0.7621334428507192
v02a,SBUX,corr_ema20_sma50_251d,corr_sma50_sma200_199d,0.7589171815727218
v02a,SBUX,atr17_open,roll_sd_ret1d_147d,0.7583795303332671
v02a,CVX,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag5,0.7569678276139041
v02a,SBUX,atr17_open,roll_sd_ret5d_147d,0.754537038984811
v02a,AXP,atr17_open,roll_sd_ret5d_147d,0.7540762250203338
v02a,AXP,roll_sd_intraday_61d,roll_sd_intraday_251d,0.7528502232130575
v02a,AXP,roll_mean_ret5d_147d,ma_cross_l,0.7528496152573505
v02a,AAPL,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag5,0.7503547687434164
v02a,AMD,roll_mean_ret5d_147d,ma_cross_l,0.7500553712333623
v02a,AMD,roll_sd_ret21d_251d,roll_sd_intraday_251d,0.7498441949546175
